timestamp,site,marca_buscada,produto,quantidade,volume,preco_pack,preco_unitario,url
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken barril 5 Litros,1,,"132,21","132,21",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-barril-5-litros/1000007871
2026-07-27 13:32:30,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken lata 269ml",1,269ml,"3,95","3,95",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-lata-269ml/1000045527
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Lager Heineken 350ml,1,350ml,"6,81","6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-heineken-350ml/1000007872
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken lata 269ml,1,269ml,"3,95","3,95",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata-269ml/1000042610
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Lager Zero Álcool Heineken Lata 350ml,1,350ml,"6,81","6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-zero-alcool-heineken-lata-350ml/1000034754
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Lager Puro Malte sem Glúten Heineken Ultimate Garrafa 330ml,1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-puro-malte-sem-gluten-heineken-ultimate-garrafa-330ml/1000056064
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken long neck 250ml,1,250ml,"6,59","6,59",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-250ml/1000007927
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken long neck 330ml,1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-330ml/1000008685
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken Lata - 473ml,1,473ml,"8,13","8,13",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata---473ml/1000051283
2026-07-27 13:32:30,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken long neck 330ml",1,330ml,"8,02","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-long-neck-330ml/1000034755
2026-07-27 13:32:30,Sonda Delivery,Heineken,Cerveja Heineken long neck 600ml,1,600ml,"15,28","15,28",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-600ml/1000007926
2026-07-27 13:32:30,Sonda Delivery,Spaten,Cerveja munich helles Spaten lata 269ml,1,269ml,"3,79","3,79",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-helles-spaten-lata-269ml/1000043131
2026-07-27 13:32:30,Sonda Delivery,Spaten,Cerveja munich puro malte Spaten lata 350ml,1,350ml,"4,89","4,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-puro-malte-spaten-lata-350ml/1000039001
2026-07-27 13:32:30,Sonda Delivery,Spaten,Cerveja puro malte Spaten long neck 330ml,1,330ml,"5,99","5,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-puro-malte-spaten-long-neck-330ml/1000050531
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois lata 350ml,1,350ml,"5,89","5,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-350ml/1000048737
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja Stella Artois lata 350ml,1,350ml,"5,49","5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-lata-350ml/1000032690
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois long neck 330ml,1,330ml,"7,59","7,59",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-long-neck-330ml/1000047453
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja Stella Artois lata 269ml,1,269ml,"4,39","4,39",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-lata-269ml/1000029439
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja Stella Artois long neck 330ml,1,330ml,"6,89","6,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-long-neck-330ml/1000032348
2026-07-27 13:32:30,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois lata 269ml,1,269ml,"5,05","5,05",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-269ml/1000049712
2026-07-27 13:32:30,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Sleek Pack 12 Latas 350ml Cada,12,350ml,"68,48","5,71",https://www.samsclub.com.br/produto/cerveja-heineken-zero-alcool-sleek-pack-12-latas-350ml-cada-125881
2026-07-27 13:32:30,Sam's Club,Heineken,Cerveja Lager Premium Puro Malte Zero Álcool Heineken Pack com 6 Unidades 330ml Cada,6,330ml,"39,98","6,66",https://www.samsclub.com.br/produto/cerveja-lager-premium-puro-malte-zero-alcool-heineken-pack-com-6-unidades-330ml-cada-82693
2026-07-27 13:32:30,Sam's Club,Heineken,Cerveja Heineken Sleek Pack 12 Latas 350ml Cada,12,350ml,"68,48","5,71",https://www.samsclub.com.br/produto/cerveja-heineken-sleek-pack-12-latas-350ml-cada-125889
2026-07-27 13:32:30,Sam's Club,Heineken,Cerveja Heineken Pack 8 Latas 269ml Cada,8,269ml,"31,92","3,99",https://www.samsclub.com.br/produto/cerveja-heineken-pack-8-latas-269ml-cada-112320
2026-07-27 13:32:30,Sam's Club,Stella Artois,Cerveja Stella Artois Gold Pack 6 Long Neck 330ml Cada,6,330ml,"42,98","7,16",https://www.samsclub.com.br/produto/cerveja-stella-artois-gold-pack-6-long-neck-330ml-cada-133998
